epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,193.453,1.09519,0.72394,1.03164,0.98147,0.97087,0.98451,0.59718,1.23917,0.67296,1.29975,0.000487162,0.000487162,0.000487162
43,198.478,1.14066,0.76954,1.16713,0.97629,0.97087,0.98386,0.61716,1.19268,0.65546,1.23659,0.000490728,0.000490728,0.000490728
44,203.247,1.1887,0.72634,1.17125,0.97629,0.97087,0.98386,0.61716,1.19268,0.65546,1.23659,0.000493898,0.000493898,0.000493898
45,208.7,1.08599,0.67773,1.0563,0.99019,0.98002,0.98454,0.61421,1.20477,0.70959,1.3087,0.000496672,0.000496672,0.000496672
46,213.842,1.13303,0.70611,1.04457,0.99019,0.98002,0.98454,0.61421,1.20477,0.70959,1.3087,0.00049905,0.00049905,0.00049905
47,218.768,1.04969,0.77858,1.04688,0.99019,0.97953,0.9845,0.59141,1.26863,0.75254,1.4965,0.000501032,0.000501032,0.000501032
48,223.266,1.23136,0.81441,1.14495,0.99019,0.97953,0.9845,0.59141,1.26863,0.75254,1.4965,0.000502618,0.000502618,0.000502618
49,229.011,1.1553,0.70736,1.07344,0.98893,0.98058,0.98452,0.59211,1.25167,0.71458,1.59231,0.000503808,0.000503808,0.000503808
50,233.48,1.21917,0.67044,1.06855,0.98893,0.98058,0.98452,0.59211,1.25167,0.71458,1.59231,0.000504602,0.000504602,0.000504602
51,238.387,1.0762,0.66071,1.05485,0.98036,0.98058,0.98459,0.64005,1.13748,0.67243,1.43608,0.000505,0.000505,0.000505
52,243.234,1.16123,0.6665,1.0624,0.98036,0.98058,0.98459,0.64005,1.13748,0.67243,1.43608,0.000505002,0.000505002,0.000505002
53,248.148,1.08218,0.64644,1.00095,0.98036,0.98058,0.98459,0.64005,1.13748,0.67243,1.43608,0.000504608,0.000504608,0.000504608
54,252.037,1.1522,0.6585,1.06532,0.88698,0.99029,0.97054,0.64298,1.08263,0.68545,1.29337,0.000503818,0.000503818,0.000503818
55,255.543,1.12081,0.65168,0.98514,0.88698,0.99029,0.97054,0.64298,1.08263,0.68545,1.29337,0.000502632,0.000502632,0.000502632
56,260.017,1.0733,0.65183,0.99211,0.88698,0.99029,0.97054,0.64298,1.08263,0.68545,1.29337,0.00050105,0.00050105,0.00050105
57,264.658,1.11853,0.66176,1.00425,0.84698,0.96729,0.95724,0.61136,1.12045,0.78268,1.25079,0.000499072,0.000499072,0.000499072
58,268.517,0.99785,0.6988,1.07547,0.84698,0.96729,0.95724,0.61136,1.12045,0.78268,1.25079,0.000496698,0.000496698,0.000496698
59,272.834,1.04488,0.73546,1.04957,0.84698,0.96729,0.95724,0.61136,1.12045,0.78268,1.25079,0.000493928,0.000493928,0.000493928
60,277.86,1.06396,0.66858,1.04237,0.89384,0.98092,0.97659,0.59475,1.21948,0.75906,1.25597,0.000490762,0.000490762,0.000490762
61,282.605,1.14779,0.63684,0.99202,0.89384,0.98092,0.97659,0.59475,1.21948,0.75906,1.25597,0.0004872,0.0004872,0.0004872
62,286.957,1.01186,0.71066,1.01082,0.89384,0.98092,0.97659,0.59475,1.21948,0.75906,1.25597,0.000483242,0.000483242,0.000483242
63,292.035,1.26333,0.67725,0.9802,0.9634,0.98058,0.98349,0.59528,1.26778,0.70349,1.26285,0.000478888,0.000478888,0.000478888
64,296.101,0.9785,0.6473,1.02887,0.9634,0.98058,0.98349,0.59528,1.26778,0.70349,1.26285,0.000474138,0.000474138,0.000474138
65,300.882,1.03795,0.65027,1.0187,0.9634,0.98058,0.98349,0.59528,1.26778,0.70349,1.26285,0.000468992,0.000468992,0.000468992
66,305.874,1.0731,0.65371,1.02711,0.98074,0.98888,0.98152,0.61327,1.20935,0.66171,1.31439,0.00046345,0.00046345,0.00046345
67,310.455,1.09181,0.61602,1.00084,0.98074,0.98888,0.98152,0.61327,1.20935,0.66171,1.31439,0.000457512,0.000457512,0.000457512
68,985.488,1.0325,0.62985,0.9807,0.98074,0.98888,0.98152,0.61327,1.20935,0.66171,1.31439,0.000451178,0.000451178,0.000451178
69,989.073,1.06965,0.61636,0.97878,0.98813,0.99029,0.98597,0.63482,1.15361,0.6298,1.36259,0.000444448,0.000444448,0.000444448
70,993.013,1.10139,0.61712,1.00714,0.98813,0.99029,0.98597,0.63482,1.15361,0.6298,1.36259,0.000437322,0.000437322,0.000437322
71,997.193,1.02151,0.60497,0.97804,0.98813,0.99029,0.98597,0.63482,1.15361,0.6298,1.36259,0.0004298,0.0004298,0.0004298
72,1002.02,1.07891,0.61109,0.98173,0.98937,0.99029,0.98578,0.63849,1.16348,0.62124,1.38491,0.000421882,0.000421882,0.000421882
73,1006.06,1.08384,0.61246,0.95838,0.98937,0.99029,0.98578,0.63849,1.16348,0.62124,1.38491,0.000413568,0.000413568,0.000413568
74,1010.7,1.12659,0.60965,1.01533,0.98937,0.99029,0.98578,0.63849,1.16348,0.62124,1.38491,0.000404858,0.000404858,0.000404858
75,1015.74,1.07897,0.62079,1.03478,0.9892,0.99029,0.98568,0.64393,1.16305,0.59747,1.36267,0.000395752,0.000395752,0.000395752
76,1019.86,1.1432,0.64546,1.00116,0.9892,0.99029,0.98568,0.64393,1.16305,0.59747,1.36267,0.00038625,0.00038625,0.00038625
77,1024.77,1.079,0.61887,0.9441,0.9892,0.99029,0.98568,0.64393,1.16305,0.59747,1.36267,0.000376352,0.000376352,0.000376352
78,1029.66,1.04339,0.6161,0.97074,0.98927,0.99029,0.98578,0.63325,1.1838,0.59661,1.33908,0.000366058,0.000366058,0.000366058
79,1034.03,1.0104,0.59325,0.96554,0.98927,0.99029,0.98578,0.63325,1.1838,0.59661,1.33908,0.000355368,0.000355368,0.000355368
80,1038.9,1.09387,0.63222,0.99443,0.98927,0.99029,0.98578,0.63325,1.1838,0.59661,1.33908,0.000344282,0.000344282,0.000344282
81,1043.72,1.01653,0.57781,0.98422,0.98916,0.99029,0.98626,0.62624,1.21084,0.60566,1.34743,0.0003328,0.0003328,0.0003328
82,1048.52,0.91525,0.57649,1.00241,0.98916,0.99029,0.98626,0.62624,1.21084,0.60566,1.34743,0.000320922,0.000320922,0.000320922
83,1053.94,1.0155,0.57545,0.95831,0.98916,0.99029,0.98626,0.62624,1.21084,0.60566,1.34743,0.000308648,0.000308648,0.000308648
84,1059.26,1.03021,0.5885,0.96269,0.9532,0.99029,0.97145,0.63275,1.20663,0.62791,1.32306,0.000295978,0.000295978,0.000295978
85,1063.98,1.00428,0.58477,0.9775,0.9532,0.99029,0.97145,0.63275,1.20663,0.62791,1.32306,0.000282912,0.000282912,0.000282912
86,1069.15,1.02385,0.59148,0.94013,0.9532,0.99029,0.97145,0.63275,1.20663,0.62791,1.32306,0.00026945,0.00026945,0.00026945
87,1073.9,0.95008,0.56973,0.9444,0.9532,0.99029,0.97145,0.63275,1.20663,0.62791,1.32306,0.000255592,0.000255592,0.000255592
