epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,4555.59,0.43365,0.25679,0.84279,0.99259,0.99518,0.99411,0.8277,0.5801,0.28159,0.8277,0.00034,0.00034,0.00034
42,4672.91,0.42168,0.25197,0.84432,0.99121,0.99333,0.99253,0.82384,0.58658,0.29022,0.82741,0.0003235,0.0003235,0.0003235
43,4775.54,0.41924,0.25693,0.84302,0.99245,0.99333,0.99276,0.81923,0.58233,0.28082,0.82384,0.000307,0.000307,0.000307
44,4893.36,0.42644,0.25211,0.84513,0.99599,0.99561,0.99409,0.82281,0.5655,0.27827,0.81807,0.0002905,0.0002905,0.0002905
45,4998.55,0.419,0.25398,0.85158,0.99532,0.99561,0.99405,0.82025,0.56671,0.27807,0.81878,0.000274,0.000274,0.000274
46,5094.68,0.41437,0.25302,0.84277,0.99387,0.99525,0.99399,0.81959,0.57755,0.28549,0.82454,0.0002575,0.0002575,0.0002575
47,5216.47,0.41785,0.24918,0.84303,0.99328,0.99561,0.99382,0.8182,0.58185,0.28794,0.82687,0.000241,0.000241,0.000241
48,5333.89,0.40818,0.24494,0.84602,0.99297,0.99333,0.99238,0.8254,0.56755,0.27014,0.82215,0.0002245,0.0002245,0.0002245
49,5438.85,0.42248,0.24965,0.84672,0.99367,0.99333,0.9922,0.82764,0.56603,0.27603,0.82332,0.000208,0.000208,0.000208
50,5561.81,0.41992,0.245,0.84606,0.99252,0.99293,0.99225,0.82926,0.56851,0.28274,0.82623,0.0001915,0.0001915,0.0001915
51,5699.67,0.45217,0.24324,0.8343,0.98958,0.99333,0.9923,0.83135,0.55872,0.28086,0.82207,0.000175,0.000175,0.000175
52,5798.19,0.45243,0.23684,0.82666,0.98931,0.99287,0.99067,0.8279,0.56511,0.27317,0.82117,0.0001585,0.0001585,0.0001585
53,5917.85,0.43934,0.23175,0.82845,0.98927,0.99248,0.99071,0.82421,0.56272,0.27105,0.82192,0.000142,0.000142,0.000142
54,6036.44,0.44645,0.2258,0.8315,0.9915,0.99277,0.99034,0.82842,0.55628,0.26613,0.82271,0.0001255,0.0001255,0.0001255
55,6155.52,0.44184,0.22309,0.83353,0.99399,0.9955,0.99339,0.83052,0.55639,0.26439,0.8226,0.000109,0.000109,0.000109
56,6253,0.4359,0.22718,0.83924,0.9918,0.99333,0.99007,0.83121,0.55335,0.26854,0.82123,9.25e-05,9.25e-05,9.25e-05
57,6368.8,0.4315,0.22467,0.82837,0.9918,0.99333,0.99007,0.83115,0.55183,0.26943,0.82141,7.6e-05,7.6e-05,7.6e-05
58,6458.93,0.43403,0.22009,0.82609,0.9919,0.99333,0.99118,0.83365,0.55307,0.26354,0.82134,5.95e-05,5.95e-05,5.95e-05
59,6571.25,0.43094,0.21989,0.82836,0.99218,0.99333,0.99163,0.83091,0.55348,0.26363,0.82049,4.3e-05,4.3e-05,4.3e-05
60,6685.54,0.42543,0.21469,0.82844,0.99218,0.99333,0.99158,0.83119,0.55169,0.26025,0.81994,2.65e-05,2.65e-05,2.65e-05
