epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.114,0.9934,2.52142,1.16486,0.53265,0.69467,0.60577,0.45523,0.9816,1.89549,1.10056,0.00017,0.00017,0.00017
2,248.02,0.61679,0.80132,0.91516,0.78853,0.89222,0.92029,0.69385,0.73215,0.79691,0.93606,0.000344225,0.000344225,0.000344225
3,344.305,0.55775,0.58662,0.89886,0.90546,0.94656,0.93772,0.73488,0.71527,0.83784,0.90294,0.00051251,0.00051251,0.00051251
4,472.413,0.54352,0.50489,0.8794,0.95829,0.97213,0.98887,0.77416,0.66243,0.59115,0.87103,0.000674855,0.000674855,0.000674855
5,584.019,0.54211,0.47047,0.87984,0.95296,0.9729,0.97651,0.7629,0.69175,0.65088,0.88939,0.00083126,0.00083126,0.00083126
6,696.683,0.52177,0.43865,0.86769,0.96076,0.98179,0.98907,0.77798,0.66524,0.55985,0.85929,0.0009175,0.0009175,0.0009175
7,810.432,0.51316,0.41951,0.87496,0.96671,0.98331,0.99049,0.76483,0.69674,0.49901,0.88067,0.000901,0.000901,0.000901
8,926.982,0.5098,0.40292,0.87042,0.96241,0.98179,0.98818,0.78062,0.67035,0.55511,0.87792,0.0008845,0.0008845,0.0008845
9,1039.84,0.51048,0.39776,0.86542,0.97798,0.97154,0.98552,0.76575,0.74209,0.61078,0.89226,0.000868,0.000868,0.000868
10,1146.71,0.49421,0.38573,0.86452,0.98987,0.9736,0.99155,0.78821,0.61689,0.44363,0.84594,0.0008515,0.0008515,0.0008515
11,1268.99,0.49557,0.38149,0.8655,0.98316,0.98024,0.99233,0.79372,0.61647,0.39561,0.85761,0.000835,0.000835,0.000835
12,1387.09,0.50163,0.37418,0.86938,0.99355,0.99042,0.99295,0.78902,0.63567,0.39198,0.87023,0.0008185,0.0008185,0.0008185
13,1520.93,0.49582,0.36128,0.86081,0.99265,0.99447,0.99358,0.79316,0.61761,0.37355,0.84065,0.000802,0.000802,0.000802
14,1637.44,0.48677,0.34992,0.85679,0.96454,0.97506,0.98563,0.78094,0.66408,0.51552,0.87336,0.0007855,0.0007855,0.0007855
15,1729.25,0.48244,0.35047,0.86073,0.98924,0.98277,0.99124,0.79157,0.61867,0.39152,0.87377,0.000769,0.000769,0.000769
16,1830.95,0.47928,0.33759,0.85855,0.99353,0.99058,0.99293,0.79401,0.60799,0.3645,0.85058,0.0007525,0.0007525,0.0007525
17,1939.11,0.47764,0.33288,0.86139,0.99457,0.99347,0.99297,0.80098,0.62119,0.37701,0.87024,0.000736,0.000736,0.000736
18,2052.42,0.4685,0.32229,0.8582,0.98627,0.98849,0.99277,0.78678,0.60494,0.37005,0.86987,0.0007195,0.0007195,0.0007195
19,2146.75,0.47996,0.32317,0.86045,0.98844,0.9825,0.99237,0.79378,0.61497,0.36548,0.87954,0.000703,0.000703,0.000703
20,2248.22,0.47188,0.32605,0.85797,0.98821,0.99081,0.99304,0.8067,0.59915,0.35954,0.87476,0.0006865,0.0006865,0.0006865
21,2349.93,0.46978,0.32234,0.85952,0.99219,0.99104,0.99125,0.80166,0.5974,0.35003,0.86783,0.00067,0.00067,0.00067
22,2448.09,0.461,0.31249,0.85741,0.98904,0.99324,0.99181,0.80782,0.60981,0.35272,0.87679,0.0006535,0.0006535,0.0006535
23,2542.82,0.4602,0.30792,0.85094,0.9677,0.99001,0.97811,0.78694,0.60675,0.34606,0.87057,0.000637,0.000637,0.000637
24,2653.11,0.45347,0.30004,0.85397,0.98368,0.99104,0.99302,0.81311,0.58874,0.34169,0.86636,0.0006205,0.0006205,0.0006205
25,2754.96,0.44333,0.29562,0.858,0.99534,0.99561,0.99381,0.81359,0.59106,0.3324,0.85819,0.000604,0.000604,0.000604
26,2861.6,0.45213,0.29179,0.8538,0.98388,0.99561,0.99344,0.80479,0.59331,0.33138,0.86906,0.0005875,0.0005875,0.0005875
27,2974.32,0.45383,0.29684,0.85366,0.98928,0.99326,0.99246,0.8125,0.59582,0.32368,0.87035,0.000571,0.000571,0.000571
28,3082.85,0.43933,0.28871,0.85386,0.99556,0.99118,0.99369,0.80609,0.6069,0.3509,0.87485,0.0005545,0.0005545,0.0005545
29,3196.88,0.44598,0.28584,0.8561,0.98906,0.99559,0.99355,0.81701,0.58458,0.33012,0.86795,0.000538,0.000538,0.000538
30,3305.6,0.44728,0.28457,0.85125,0.99114,0.99333,0.99065,0.81854,0.58544,0.31947,0.8384,0.0005215,0.0005215,0.0005215
31,3412.72,0.44269,0.28221,0.84945,0.99086,0.99561,0.99353,0.82496,0.56881,0.31216,0.82609,0.000505,0.000505,0.000505
32,3527.52,0.44333,0.27599,0.8485,0.99239,0.99333,0.99215,0.81488,0.57898,0.30902,0.82232,0.0004885,0.0004885,0.0004885
33,3632.58,0.4476,0.27944,0.85028,0.98797,0.99123,0.99249,0.81753,0.5776,0.29953,0.81915,0.000472,0.000472,0.000472
34,3747.7,0.44274,0.2743,0.84681,0.9896,0.99243,0.99265,0.80746,0.59666,0.30398,0.83173,0.0004555,0.0004555,0.0004555
35,3855.53,0.4423,0.27016,0.85477,0.99297,0.98978,0.99169,0.81277,0.58029,0.2978,0.82898,0.000439,0.000439,0.000439
36,3970.45,0.43075,0.26107,0.84667,0.9931,0.99429,0.99393,0.81922,0.56931,0.30318,0.8185,0.0004225,0.0004225,0.0004225
37,4079.15,0.43384,0.2633,0.84775,0.9969,0.99439,0.99404,0.82248,0.57295,0.30011,0.82066,0.000406,0.000406,0.000406
38,4197.52,0.43818,0.26471,0.84407,0.99267,0.99333,0.99228,0.8119,0.58484,0.30405,0.83415,0.0003895,0.0003895,0.0003895
39,4309.52,0.42612,0.25792,0.8466,0.99205,0.9929,0.99391,0.81194,0.58976,0.30316,0.8261,0.000373,0.000373,0.000373
40,4432.62,0.42988,0.25579,0.8522,0.99333,0.99561,0.99422,0.82598,0.56982,0.27481,0.82216,0.0003565,0.0003565,0.0003565
